Country,AQI Value,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Unnamed: 20,Unnamed: 21,Unnamed: 22
cuba,60.87323943661972,LATIN AMER. & CARIB    ,11382820.0,110860.0,"102,7","3,37","-1,58","6,33",2900,"97,0","74,7","33,05","7,6","59,35",2,"11,89","7,22","0,055","0,261","0,684",,,
cyprus,50.0,NEAR EAST                          ,784301.0,9250.0,"84,8","7,01","0,43","7,18",19200,"97,6",,"7,79","4,44","87,77",3,"12,56","7,68","0,037","0,198","0,765",,,
czechia,60.76744186046512,,,,,,,,,,,,,,,,,,,,,,
côte d'ivoire,50.666666666666664,,,,,,,,,,,,,,,,,,,,,,
democratic republic of the congo,108.39393939393939,,,,,,,,,,,,,,,,,,,,,,
denmark,38.16216216216216,WESTERN EUROPE                     ,5450661.0,43094.0,"126,5","16,97","2,48","4,56",31100,"100,0","614,6","54,02","0,19","45,79",3,"11,13","10,36","0,018","0,246","0,735",,,
dominican republic,109.92592592592592,LATIN AMER. & CARIB    ,9183984.0,48730.0,"188,5","2,64","-3,22","32,38",6000,"84,7","97,4","22,65","10,33","67,02",2,"23,22","5,73","0,112","0,306","0,582",,,
ecuador,46.128571428571426,LATIN AMER. & CARIB    ,13547510.0,283560.0,"47,8","0,79","-8,58","23,66",3300,"92,5","125,6","5,85","4,93","89,22",2,"22,29","4,23","0,07","0,312","0,618",,,
egypt,70.53333333333333,NORTHERN AFRICA                    ,78887007.0,1001450.0,"78,8","0,24","-0,22","32,59",4000,"57,7","131,8","2,87","0,48","96,65",1,"22,94","5,23","0,149","0,357","0,493",,,
el salvador,98.45454545454545,LATIN AMER. & CARIB    ,6822378.0,21040.0,"324,3","1,46","-3,74","25,1",4800,"80,2","142,4","31,85","12,07","56,08",2,"26,61","5,78","0,099","0,302","0,599",,,
equatorial guinea,42.0,SUB-SAHARAN AFRICA                 ,540109.0,28051.0,"19,3","1,06",0,"85,13",2700,"85,7","18,5","4,63","3,57","91,8",2,"35,59","15,06","0,03","0,906","0,062",,,
eritrea,109.0,SUB-SAHARAN AFRICA                 ,4786994.0,121320.0,"39,5","1,84",0,"74,87",700,"58,6","7,9","4,95","0,03","95,02","1,5","34,33","9,6","0,102","0,254","0,643",,,
estonia,42.57142857142857,BALTICS                            ,1324333.0,45226.0,"29,3","8,39","-3,16","7,87",12300,"99,8","333,8","16,04","0,45","83,51",3,"10,04","13,25","0,04","0,294","0,666",,,
ethiopia,80.56521739130434,SUB-SAHARAN AFRICA                 ,74777981.0,1127127.0,"66,3","0,00",0,"95,32",700,"42,7","8,2","10,71","0,75","88,54",2,"37,98","14,86","0,475","0,099","0,426",,,
finland,39.46875,WESTERN EUROPE                     ,5231372.0,338145.0,"15,5","0,37","0,95","3,57",27400,"100,0","405,3","7,19","0,03","92,78",3,"10,45","9,86","0,028","0,295","0,676",,,
france,52.319383259911895,WESTERN EUROPE                     ,60876136.0,547030.0,"111,3","0,63","0,66","4,26",27600,"99,0","586,4","33,53","2,07","64,4",4,"11,99","9,14","0,022","0,214","0,764",,,
gabon,73.55555555555556,SUB-SAHARAN AFRICA                 ,1424906.0,267667.0,"5,3","0,33",0,"53,64",5500,"63,2","27,4","1,26","0,66","98,08",2,"36,16","12,25","0,061","0,592","0,348",,,
gambia,148.83333333333334,,,,,,,,,,,,,,,,,,,,,,
georgia,40.916666666666664,C.W. OF IND. STATES ,4661473.0,69700.0,"66,9","0,44","-4,7","18,59",2500,"99,0","146,6","11,44","3,86","84,7",3,"10,41","9,23","0,172","0,275","0,553",,,
germany,47.5625,WESTERN EUROPE                     ,82422299.0,357021.0,"230,9","0,67","2,18","4,16",27600,"99,0","667,9","33,85","0,59","65,56",3,"8,25","10,62","0,009","0,296","0,695",,,
ghana,62.734693877551024,SUB-SAHARAN AFRICA                 ,22409572.0,239460.0,"93,6","0,23","-0,64","51,43",2200,"74,8","14,4","16,26","9,67","74,07",2,"30,52","9,72","0,366","0,246","0,387",,,
greece,73.6,WESTERN EUROPE                     ,10688058.0,131940.0,"81,0","10,37","2,35","5,53",20000,"97,5","589,7","21,1","8,78","70,12",3,"9,68","10,24","0,054","0,213","0,733",,,
guatemala,75.34375,LATIN AMER. & CARIB    ,12293545.0,108890.0,"112,9","0,37","-1,67","35,93",4100,"70,6","92,1","12,54","5,03","82,43",2,"29,88","5,2","0,227","0,188","0,585",,,
guinea,60.75,SUB-SAHARAN AFRICA                 ,9690222.0,245857.0,"39,4","0,13","-3,06","90,37",2100,"35,9","2,7","3,63","2,58","93,79",2,"41,76","15,48","0,237","0,362","0,401",,,
